,date_x,week_date,model_category,weekday_visits,date_y,weekend_visits,total_visits,base_rate,multiplier
196,2020-09-30,2020-09-28,office,960,2020-10-04,509,2909.0,7583.0,0.38362125807727815
197,2020-09-30,2020-09-28,retail,14230,2020-10-04,11053,46628.0,104534.0,0.4460558287255821
198,2020-09-30,2020-09-28,social,12372,2020-10-04,11386,42316.0,111885.5,0.37820807879483936
199,2020-09-30,2020-09-28,supermarket,2227,2020-10-04,2179,7746.5,17606.0,0.43999204816539816
200,2020-10-07,2020-10-05,education,3853,2020-10-11,2274,11906.5,75050.5,0.158646511349025
201,2020-10-07,2020-10-05,office,972,2020-10-11,484,2914.0,7583.0,0.3842806277198998
202,2020-10-07,2020-10-05,retail,14692,2020-10-11,12143,48873.0,104534.0,0.46753209482082386
203,2020-10-07,2020-10-05,social,13207,2020-10-11,12856,45873.5,111885.5,0.41000397728034466
204,2020-10-07,2020-10-05,supermarket,2137,2020-10-11,2306,7648.5,17606.0,0.43442576394411
205,2020-10-14,2020-10-12,education,3964,2020-10-18,2226,12136.0,75050.5,0.1617044523354275
206,2020-10-14,2020-10-12,office,1039,2020-10-18,519,3116.5,7583.0,0.41098509824607676
207,2020-10-14,2020-10-12,retail,14811,2020-10-18,12044,49071.5,104534.0,0.4694309985267951
208,2020-10-14,2020-10-12,social,13268,2020-10-18,12744,45914.0,111885.5,0.4103659544802499
209,2020-10-14,2020-10-12,supermarket,2201,2020-10-18,2306,7808.5,17606.0,0.4435135749176417
210,2020-10-21,2020-10-19,education,3927,2020-10-25,2183,12000.5,75050.5,0.15989900133909835
211,2020-10-21,2020-10-19,office,943,2020-10-25,513,2870.5,7583.0,0.37854411182909137
212,2020-10-21,2020-10-19,retail,14627,2020-10-25,11734,48301.5,104534.0,0.46206497407542046
213,2020-10-21,2020-10-19,social,12801,2020-10-25,12421,44423.5,111885.5,0.39704429975287236
214,2020-10-21,2020-10-19,supermarket,2162,2020-10-25,2193,7598.0,17606.0,0.431557423605589
215,2020-10-28,2020-10-26,education,4066,2020-11-01,2283,12448.0,75050.5,0.1658616531535433
216,2020-10-28,2020-10-26,office,1003,2020-11-01,545,3052.5,7583.0,0.4025451668205196
217,2020-10-28,2020-10-26,retail,15044,2020-11-01,11415,49025.0,104534.0,0.46898616718005626
218,2020-10-28,2020-10-26,social,13071,2020-11-01,12826,45503.5,111885.5,0.4066970250836793
219,2020-10-28,2020-10-26,supermarket,2252,2020-11-01,2311,7941.0,17606.0,0.4510394183800977
220,2020-11-04,2020-11-02,education,4001,2020-11-08,2168,12170.5,75050.5,0.1621641428105076
221,2020-11-04,2020-11-02,office,920,2020-11-08,501,2801.0,7583.0,0.3693788737966504
222,2020-11-04,2020-11-02,retail,13729,2020-11-08,10979,45301.5,104534.0,0.433366177511623
223,2020-11-04,2020-11-02,social,14291,2020-11-08,15871,51598.5,111885.5,0.4611723592422611
224,2020-11-04,2020-11-02,supermarket,2019,2020-11-08,2026,7073.5,17606.0,0.4017664432579802
225,2020-11-11,2020-11-09,education,3170,2020-11-15,2113,10038.0,75050.5,0.133749941705918
226,2020-11-11,2020-11-09,office,866,2020-11-15,488,2653.0,7583.0,0.34986153237504947
227,2020-11-11,2020-11-09,retail,14704,2020-11-15,10927,47687.0,104534.0,0.4561865039126026
228,2020-11-11,2020-11-09,social,13608,2020-11-15,11569,45589.0,111885.5,0.40746119917236817
229,2020-11-11,2020-11-09,supermarket,2135,2020-11-15,1957,7294.5,17606.0,0.414318982165171
230,2020-11-18,2020-11-16,education,3523,2020-11-22,2124,10931.5,75050.5,0.14565525879241312
231,2020-11-18,2020-11-16,office,983,2020-11-22,472,2929.5,7583.0,0.3863246736120269
232,2020-11-18,2020-11-16,retail,13275,2020-11-22,11668,44855.5,104534.0,0.42909962308913846
233,2020-11-18,2020-11-16,social,11587,2020-11-22,11289,40256.5,111885.5,0.3598008678515089
234,2020-11-18,2020-11-16,supermarket,2045,2020-11-22,2150,7262.5,17606.0,0.41250141997046463
235,2020-11-25,2020-11-23,education,2282,2020-11-29,1950,7655.0,75050.5,0.10199798802139892
236,2020-11-25,2020-11-23,office,861,2020-11-29,484,2636.5,7583.0,0.347685612554398
237,2020-11-25,2020-11-23,retail,13720,2020-11-29,11067,45367.0,104534.0,0.4339927679032659
238,2020-11-25,2020-11-23,social,12566,2020-11-29,10666,42081.0,111885.5,0.3761077172645249
239,2020-11-25,2020-11-23,supermarket,2531,2020-11-29,1817,8144.5,17606.0,0.46259797796205837
240,2020-12-02,2020-11-30,education,3289,2020-12-06,1887,10109.5,75050.5,0.13470263356006956
241,2020-12-02,2020-11-30,office,942,2020-12-06,533,2888.0,7583.0,0.3808519055782672
242,2020-12-02,2020-11-30,retail,14079,2020-12-06,11292,46489.5,104534.0,0.4447309009508868
243,2020-12-02,2020-11-30,social,11583,2020-12-06,11033,39990.5,111885.5,0.35742343735336574
244,2020-12-02,2020-11-30,supermarket,2071,2020-12-06,2159,7336.5,17606.0,0.41670453254572304
